Dataset,Dataset prop,Training Prop,Data normalized,SOM type,Lattice distribution,Lattice width,Lattice height,Neighborhood radius,Learning factor,Tuning factor,Initialization,Distance,Neighborhood function,Training iters,Tuning iters,Tolerance,Models created,Init seed,Set shuffling seed,Av MQE after training,MQE SD after training,Av success,Av failure,Av Precision,Av MQE after test,MQE SD after test,Elapsed time
wine.csv,1.0,0.6,true,Batch,Hexagonal,7,7,4,0.8,0.2,Normalized Random,Squared Euclidean,Gaussian,1000,0,0.0,30,1228028539,-1651297651,0.14248564871313338,0.111657264965579,69.33333333333333,3.6666666666666665,94.9771689497717,0.22465336939843156,0.17456012695317233,2:30
wine.csv,1.0,0.6,false,Batch,Rectangular,7,7,4,0.8,0.2,Random,Squared Euclidean,Gaussian,200,0,0.0,30,491251589,324922660,222.9188444622092,905.6376535137041,54.666666666666664,18.333333333333332,74.88584474885846,375.6545752895109,1767.1760967419477,0:30
wine.csv,1.0,0.6,false,Batch,Rectangular,7,7,4,0.8,0.2,Random,Squared Euclidean,Gaussian,500,0,0.0,30,343563517,1088478521,210.3544091782111,818.4009897947606,53.333333333333336,19.666666666666668,73.05936073059362,452.03397327904065,2195.104956035626,1:17
wine.csv,1.0,0.6,false,Batch,Rectangular,7,7,4,0.8,0.2,Random,Squared Euclidean,Gaussian,1000,0,0.0,30,-561186028,783309754,237.36395483031725,1016.6952781172412,55.8,17.2,76.43835616438356,386.6192601585534,1718.7730996938412,2:40
wine.csv,1.0,0.6,false,Batch,Hexagonal,7,7,4,0.8,0.2,Random,Squared Euclidean,Gaussian,200,0,0.0,30,-987848082,549686799,211.4168885456416,808.7191672341643,56.06666666666667,16.933333333333334,76.80365296803652,408.6372565653034,2027.618813880781,0:33
wine.csv,1.0,0.6,false,Batch,Hexagonal,7,7,4,0.8,0.2,Random,Squared Euclidean,Gaussian,500,0,0.0,30,1325612676,1774816420,223.35780385659262,927.2462088378873,53.96666666666667,19.033333333333335,73.92694063926942,468.7800000029026,2190.0412033202974,1:19
wine.csv,1.0,0.6,false,Batch,Hexagonal,7,7,4,0.8,0.2,Random,Squared Euclidean,Gaussian,1000,0,0.0,30,-494547132,-1326001506,191.06870623575836,687.9131608356689,54.13333333333333,18.866666666666667,74.15525114155253,389.2430642141247,1783.1791562858418,2:32
wine.csv,1.0,0.6,true,Batch,Rectangular,7,7,4,0.8,0.2,Normalized Random,Squared Euclidean,Gaussian,200,0,0.0,30,460477886,-1710866798,0.13624879577628055,0.10229378449266625,69.4,3.6,95.06849315068492,0.2117757154353511,0.16311677130144592,0:33
wine.csv,1.0,0.6,true,Batch,Rectangular,7,7,4,0.8,0.2,Normalized Random,Squared Euclidean,Gaussian,500,0,0.0,30,1324289403,77949284,0.13741077470111623,0.10895096686819009,69.23333333333333,3.7666666666666666,94.84018264840181,0.21760923212871494,0.17275612856402037,1:22
wine.csv,1.0,0.6,true,Batch,Rectangular,7,7,4,0.8,0.2,Normalized Random,Squared Euclidean,Gaussian,1000,0,0.0,30,-466154345,1691655908,0.13573046177420503,0.10262552695668922,68.9,4.1,94.38356164383563,0.21734234404981514,0.16676152826933097,2:42
wine.csv,1.0,0.6,true,Batch,Hexagonal,7,7,4,0.8,0.2,Normalized Random,Squared Euclidean,Gaussian,200,0,0.0,30,72637828,-1565428071,0.14387219240202884,0.10764679406654469,68.76666666666667,4.233333333333333,94.20091324200912,0.22480138208642197,0.16937764397030658,0:32
wine.csv,1.0,0.6,true,Batch,Hexagonal,7,7,4,0.8,0.2,Normalized Random,Squared Euclidean,Gaussian,500,0,0.0,30,-1576476078,-937909179,0.14269305863006163,0.11226880972719402,68.96666666666667,4.033333333333333,94.47488584474885,0.22404317550906422,0.17554162825538897,1:21
wine.csv,1.0,0.6,true,Batch,Hexagonal,7,7,4,0.8,0.2,Normalized Random,Squared Euclidean,Gaussian,1000,0,0.0,30,-749575083,930972266,0.13070971997371267,0.1038087486067316,69.26666666666667,3.7333333333333334,94.88584474885845,0.21347714954474575,0.17898977904335356,2:47
wine.csv,1.0,0.6,false,Batch,Rectangular,7,7,4,0.8,0.2,Random,Squared Euclidean,Gaussian,200,0,0.0,30,-1429284343,-965589009,185.9227304568689,671.2191523094368,55.43333333333333,17.566666666666666,75.93607305936074,389.892404657273,1927.9999241117619,0:33
