Dataset,Dataset prop,Training Prop,Data normalized,SOM type,Lattice distribution,Lattice width,Lattice height,Neighborhood radius,Learning factor,Tuning factor,Initialization,Distance,Neighborhood function,Training iters,Tuning iters,Tolerance,Models created,Init seed,Set shuffling seed,Av MQE after training,MQE SD after training,Av success,Av failure,Av Precision,Av MQE after test,MQE SD after test,Elapsed time
glass.csv,1.0,0.6,true,Batch,Hexagonal,8,7,5,0.8,0.2,Normalized Random,Squared Euclidean,Gaussian,500,0,0.0,30,1906812240,-1292950273,0.054130861654372246,0.09007965376686364,50.9,38.1,57.19101123595505,0.0946043241863443,0.1625968641686964,1:19
glass.csv,1.0,0.6,true,Batch,Hexagonal,8,7,5,0.8,0.2,Normalized Random,Squared Euclidean,Gaussian,1000,0,0.0,30,-1567174242,272871493,0.04210421195716347,0.0734704703928602,52.833333333333336,36.166666666666664,59.3632958801498,0.07780846978490714,0.14852189775852936,2:37
glass.csv,1.0,0.6,false,Batch,Rectangular,8,7,5,0.8,0.2,Random,Squared Euclidean,Gaussian,200,0,0.0,30,1382561876,-29451696,0.2888011231774383,0.9313695983416265,62.8,26.2,70.561797752809,0.6269642733738884,2.25227852408351,0:32
glass.csv,1.0,0.6,false,Batch,Rectangular,8,7,5,0.8,0.2,Random,Squared Euclidean,Gaussian,500,0,0.0,30,-2047294459,-1138885214,0.2806374605207204,0.9219343999508111,62.6,26.4,70.33707865168539,0.6570322548554578,2.3586603872904006,1:20
glass.csv,1.0,0.6,false,Batch,Rectangular,8,7,5,0.8,0.2,Random,Squared Euclidean,Gaussian,1000,0,0.0,30,1668793863,598526376,0.2728279682990498,0.890959260639463,60.3,28.7,67.75280898876404,0.6319999189878391,2.15918447652514,2:38
glass.csv,1.0,0.6,false,Batch,Hexagonal,8,7,5,0.8,0.2,Random,Squared Euclidean,Gaussian,200,0,0.0,30,1592759634,239803172,0.3105387852468329,1.0555502454862276,63.2,25.8,71.01123595505618,0.5966428263607126,2.074182177554687,0:32
glass.csv,1.0,0.6,false,Batch,Hexagonal,8,7,5,0.8,0.2,Random,Squared Euclidean,Gaussian,500,0,0.0,30,512283081,-1922525875,0.3027418174741375,1.0066232088567466,60.36666666666667,28.633333333333333,67.82771535580524,0.6588692809455859,2.2361979938362047,1:16
glass.csv,1.0,0.6,false,Batch,Hexagonal,8,7,5,0.8,0.2,Random,Squared Euclidean,Gaussian,1000,0,0.0,30,-751426019,-128885181,0.2871806754015084,0.9136411554636242,59.766666666666666,29.233333333333334,67.15355805243445,0.6208717481377535,2.11636998442998,2:34
glass.csv,1.0,0.6,true,Batch,Rectangular,8,7,5,0.8,0.2,Normalized Random,Squared Euclidean,Gaussian,200,0,0.0,30,1110046445,-2038205962,0.04768901128198946,0.08495188750833892,55.93333333333333,33.06666666666667,62.84644194756554,0.08590603593865591,0.16171690006389294,0:37
glass.csv,1.0,0.6,true,Batch,Rectangular,8,7,5,0.8,0.2,Normalized Random,Squared Euclidean,Gaussian,500,0,0.0,30,-1671119804,874536083,0.04702027031411351,0.07086727367775464,49.56666666666667,39.43333333333333,55.692883895131075,0.08759939552431374,0.15365028135901418,1:27
